TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
31	55298	-23	20	-1269	412	-381	-269	-1.25	4.4375	17.25	0.05857079	0.9091955	-0.4120452	-0.01231811	0	0	0
15	55318	64	-3	-1396	414	-387	-272	-7.4375	3.5625	14.5	0.05616633	0.9090385	-0.4127426	-0.01174581	0	0	0
31	55337	-43	-27	-1620	413	-388	-272	-1.875	-1.3125	26.6875	0.05541583	0.9081728	-0.4147806	-0.01040381	0	0	0
15	55357	-98	-226	-1431	400	-384	-270	-2.25	0.625	28.9375	0.05826165	0.9061452	-0.4188127	-0.01012491	0	0	0
15	55377	-90	-152	-1480	397	-395	-268	-7.8125	0	30.25	0.05837061	0.9042466	-0.4228982	-0.009377525	0	0	0
15	55397	21	-148	-1335	393	-400	-267	2.8125	1.875	27.125	0.05576066	0.9030837	-0.4257357	-0.008925438	0	0	0
31	55417	83	-78	-791	387	-406	-268	-1.25	6.5	25	0.05211897	0.9021882	-0.4281455	-0.005611246	0	0	0
15	55437	109	-172	-1207	375	-414	-273	-4.5	4.4375	25.75	0.05191422	0.900359	-0.4320133	-0.00480639	0	0	0
15	55457	-28	-138	-1171	369	-426	-270	-2.25	0.375	36.5	0.05157622	0.8980328	-0.4368733	-0.004317047	0	0	0
31	55477	5	0	-1191	349	-439	-281	-1.75	2.0625	34.5	0.04570678	0.896203	-0.4412784	-0.002069394	0	0	0
15	55497	0	-83	-1297	333	-446	-285	-2	-0.875	33.6875	0.04515601	0.8938821	-0.4460167	-0.002221585	0	0	0
15	55517	27	-241	-1072	319	-463	-295	-5.5	0.8125	24.125	0.04061247	0.8923058	-0.4496005	0.0006201155	0	0	0
15	55537	-12	-104	-1223	305	-472	-304	2.625	2	22.3125	0.03286479	0.8900797	-0.4545761	0.006224633	0	0	0
31	55556	115	-144	-836	291	-488	-322	-1.625	-2.25	24.75	0.03021546	0.8874175	-0.4598876	0.008978033	0	0	0
15	55576	5	-333	-1095	275	-502	-343	-0.3125	0.4375	21.0625	0.01707767	0.8855861	-0.4640109	0.01181344	0	0	0
15	55596	18	-242	-893	259	-506	-364	-3.125	3.0625	20.875	0.01203343	0.8820015	-0.4708229	0.01594761	0	0	0
31	55616	24	-128	-1013	240	-512	-393	-1.3125	4.375	16.1875	0.007126307	0.8786711	-0.4770282	0.01817848	0	0	0
15	55636	62	-157	-951	232	-521	-411	-0.5	2.125	9.8125	-0.0003278433	0.8758422	-0.4821153	0.02156845	0	0	0
15	55656	64	-38	-852	228	-516	-436	2.6875	3	2.25	-0.00211759	0.8743136	-0.4848293	0.02262568	0	0	0
15	55676	20	-294	-998	220	-519	-447	-3.125	3.5	1.5625	-0.005763242	0.8724787	-0.4880263	0.02404496	0	0	0
31	55696	-22	-209	-1019	213	-514	-465	-0.0625	0.75	9.1875	-0.01245482	0.8704233	-0.4914663	0.02586745	0	0	0
15	55720	-40	-282	-990	209	-508	-487	0.3125	1.3125	7.6875	-0.02083153	0.8695243	-0.4926949	0.02729918	0	0	0
15	55740	-3	-162	-988	208	-506	-484	-0.25	1.875	3.125	-0.02457102	0.8675133	-0.4959911	0.02845825	0	0	0
31	55759	13	-100	-991	202	-503	-494	-1.8125	2.4375	2.25	-0.02501559	0.8647878	-0.5006922	0.02869844	0	0	0
15	55779	11	-10	-980	202	-500	-496	-2.8125	2.125	1.5	-0.02365628	0.8619885	-0.5056051	0.02792259	0	0	0
15	55799	21	-5	-974	209	-499	-494	-3.3125	2.625	1.8125	-0.02107497	0.8592659	-0.5104023	0.02660161	0	0	0
15	55819	20	-13	-977	202	-508	-494	-6.6875	2.125	3.8125	-0.0183643	0.8563659	-0.5154288	0.02516909	0	0	0
31	55839	29	-62	-986	203	-506	-497	-8.5625	1.8125	15.0625	-0.01571875	0.8529762	-0.5211482	0.0242715	0	0	0
15	55859	36	2	-974	200	-503	-499	-7.6875	2.5	26.25	-0.01380378	0.8484879	-0.528477	0.02428725	0	0	0
15	55879	27	-79	-989	199	-506	-496	-3.6875	1.4375	64.1875	-0.01458673	0.8415534	-0.539399	0.02497603	0	0	0
15	55899	5	-180	-997	195	-510	-497	-1.25	1.8125	21.25	-0.0221037	0.8404423	-0.5407804	0.02692048	0	0	0
31	55919	0	-150	-984	188	-514	-486	-1.9375	2.4375	6.125	-0.02671902	0.8398197	-0.5414268	0.02908501	0	0	0
15	55939	1	-92	-985	189	-520	-469	0.25	2.1875	-5.375	-0.02829418	0.8391524	-0.5422965	0.03061394	0	0	0
15	55959	45	-51	-993	196	-529	-453	-0.625	2.25	-2.625	-0.02771434	0.8379539	-0.5441409	0.03124014	0	0	0
15	55978	25	-126	-995	203	-530	-423	-0.875	1.8125	2.4375	-0.02938071	0.8374427	-0.5448281	0.03144604	0	0	0
31	55998	-13	-215	-953	207	-532	-409	-2.125	2.4375	8.625	-0.0331976	0.837199	-0.5449328	0.03230938	0	0	0
15	56018	-65	-200	-980	213	-539	-387	-3.0625	3.3125	-0.0625	-0.0364265	0.8378245	-0.5437641	0.03231107	0	0	0
15	56038	-38	-221	-965	226	-529	-354	-2.5	3.1875	-13.0625	-0.03684489	0.8390263	-0.5418657	0.03253974	0	0	0
31	56058	-8	-93	-1076	239	-531	-341	-1.75	0.9375	-12.5625	-0.03564344	0.840246	-0.5400516	0.03256566	0	0	0
15	56078	0	-101	-1041	255	-520	-313	0.25	2.9375	-7.4375	-0.0366958	0.8419529	-0.5373087	0.03268255	0	0	0
15	56098	-65	-230	-1040	263	-512	-297	6.8125	1.5625	-2.5	-0.03929731	0.8442526	-0.5335292	0.03224543	0	0	0
15	56118	-92	-429	-573	274	-498	-277	6.1875	9.9375	1.0625	-0.04004009	0.8457375	-0.5311547	0.03161754	0	0	0
31	56138	-33	-139	-940	284	-496	-271	-1.3125	1	2.5625	-0.04104262	0.8479477	-0.527649	0.02977975	0	0	0
15	56158	-20	53	-1152	295	-483	-260	-2.5	4.6875	6.4375	-0.03974286	0.8491725	-0.5258014	0.02931763	0	0	0
15	56178	24	8	-937	304	-476	-253	-0.8125	1	-9.375	-0.03777919	0.8521304	-0.5212203	0.02785648	0	0	0
31	56197	16	-21	-985	321	-466	-250	-3.625	1.75	-21.5	-0.03627139	0.8567762	-0.513678	0.02745953	0	0	0
15	56217	11	-20	-1010	319	-461	-240	-2.25	1.375	-20.6875	-0.03390003	0.8611439	-0.5065301	0.02663062	0	0	0
15	56237	62	30	-938	345	-447	-236	-2.625	2.8125	-8.0625	-0.02987273	0.8647614	-0.5006285	0.02581696	0	0	0
15	56257	73	-14	-1043	350	-436	-238	-2	1.5625	-6.0625	-0.02608732	0.8677455	-0.4956346	0.02614594	0	0	0
31	56277	1	117	-1035	359	-437	-238	1	0.5	1.875	-0.02267576	0.8704734	-0.4911033	0.02407294	0	0	0
15	56297	-60	-113	-1002	358	-431	-240	-2.75	3.375	-0.5	-0.0223157	0.8734873	-0.4858221	0.02233544	0	0	0
15	56317	-1	-17	-1007	361	-429	-242	-2	2.1875	-21.0625	-0.01996501	0.8777676	-0.4781992	0.02123313	0	0	0
31	56337	19	53	-1011	367	-429	-241	-5.5	-1	-20.1875	-0.01897593	0.8821272	-0.4702034	0.02000874	0	0	0
15	56357	4	57	-966	368	-427	-241	-1.25	2.125	-14.0625	-0.01567432	0.8852766	-0.4644038	0.01920139	0	0	0
15	56377	-38	-48	-982	375	-421	-243	-1.625	3.125	-14.0625	-0.01305916	0.8884185	-0.4585178	0.01742344	0	0	0
15	56396	-1	8	-931	373	-423	-244	-0.0625	2	-24.1875	-0.01112338	0.8920028	-0.4516251	0.01556114	0	0	0
31	56416	-35	65	-987	384	-418	-243	1.9375	1.375	-20.125	-0.008055231	0.8952535	-0.4452712	0.01377565	0	0	0
15	56436	57	117	-972	377	-411	-241	1.3125	1.375	-14.3125	-0.0006245581	0.8973204	-0.4411686	0.0136375	0	0	0
15	56456	64	157	-1016	384	-412	-239	-1.0625	0.3125	-11.4375	0.00105597	0.8993246	-0.4370736	0.01344725	0	0	0
31	56476	19	65	-923	379	-413	-247	0.625	3.75	-5.25	0.0035434	0.9007673	-0.4341166	0.01218409	0	0	0
15	56496	-73	68	-971	379	-412	-234	-3.25	2.6875	-9.8125	0.005968757	0.9025574	-0.4304314	0.009128583	0	0	0
15	56516	2	13	-1010	378	-411	-246	0.5	3.8125	-16.9375	0.00790571	0.9045861	-0.4261511	0.007538431	0	0	0
15	56536	-23	75	-994	378	-406	-241	-2.375	2.6875	-16.8125	0.01005986	0.9063289	-0.4224079	0.006192843	0	0	0
31	56556	5	232	-1015	374	-403	-240	0	1.375	-11.5625	0.01394065	0.9074388	-0.4199341	0.00399161	0	0	0
15	56580	58	189	-980	372	-404	-241	-0.75	2.75	-6.8125	0.01839523	0.9077774	-0.4190389	0.002876592	0	0	0
15	56600	34	77	-983	370	-405	-239	-0.9375	3	-5.0625	0.02056193	0.9081587	-0.4181145	0.002306211	0	0	0
31	56619	13	32	-975	364	-405	-242	-2.375	2.1875	-1.9375	0.02198251	0.9083135	-0.4177077	0.001901456	0	0	0
15	56639	20	106	-978	361	-407	-240	-2.375	2.0625	2.9375	0.02541237	0.9078028	-0.4186253	0.001076882	0	0	0
15	56659	30	127	-983	357	-406	-236	-2.25	2.75	-0.875	0.02803917	0.9074249	-0.4192773	0.000661842	0	0	0
31	56679	35	161	-979	356	-410	-241	-2.0625	2.0625	-0.875	0.02973281	0.9070976	-0.4198688	0.0001443332	0	0	0
15	56699	11	74	-1000	356	-406	-246	-3.8125	1.8125	4.6875	0.0316181	0.9065938	-0.4208179	-0.0004940434	0	0	0
15	56719	16	110	-978	347	-403	-235	-1.5625	1.875	2.375	0.03272262	0.9061061	-0.4217817	-0.001121566	0	0	0
15	56739	5	144	-984	348	-406	-232	-1.9375	1.75	3.25	0.03502392	0.905445	-0.4230084	-0.002559131	0	0	0
15	56759	10	178	-981	343	-404	-236	-1.5	2.4375	6.0625	0.03793028	0.9043981	-0.4249817	-0.003994653	0	0	0
