TimestampRx	TimestampTx	AccX	AccY	AccZ	MagnX	MagnY	MagnZ	GyroX	GyroY	GyroZ	qW	qX	qY	qZ	HDR_AccX	HDR_AccY	HDR_AccZ
15	112759	-103	-24	-977	281	-432	-493	-3.375	1.75	1.9375	-0.0001621715	0.840958	-0.5408851	-0.01526017	0	0	0
31	112779	-133	-47	-985	270	-425	-498	-3.875	1.5	3.6875	-0.002813724	0.8456002	-0.5335368	-0.01705552	0	0	0
15	112799	-139	-46	-957	250	-421	-523	-1.5	1.625	1.3125	-0.004932906	0.8492506	-0.5276836	-0.01729737	0	0	0
15	112819	-45	-52	-997	210	-418	-548	-2.0625	1.625	-2.125	-0.006984191	0.8517799	-0.5235641	-0.01740049	0	0	0
31	112839	-63	-50	-975	190	-419	-553	-2.125	3.125	-8	-0.009223762	0.8541856	-0.5195776	-0.01791743	0	0	0
15	112859	-137	-105	-984	149	-414	-569	-1.875	1.375	-12.375	-0.01325643	0.8569364	-0.5149144	-0.01864101	0	0	0
15	112879	-39	-114	-965	122	-411	-570	-1.9375	1.875	-17.875	-0.01760217	0.8583224	-0.5125015	-0.01774709	0	0	0
15	112899	146	-5	-942	64	-404	-577	-0.9375	1.375	-24.9375	-0.01628067	0.8534641	-0.5207373	-0.01290544	0	0	0
31	112919	138	-49	-968	45	-406	-577	-0.75	2.9375	-21.625	-0.01383688	0.8451845	-0.5342516	-0.006850905	0	0	0
15	112939	120	-90	-966	-1	-400	-571	-1.0625	3.5	-29.0625	-0.01104673	0.8350304	-0.5500929	-0.0003759427	0	0	0
15	112958	142	-41	-975	-18	-398	-565	-0.75	3.5625	-40	-0.008509103	0.8254723	-0.5643548	0.005179778	0	0	0
15	112978	81	-82	-983	-48	-397	-557	-0.625	3.25	-39.8125	-0.007755165	0.8167116	-0.5769183	0.009338158	0	0	0
31	112998	94	-76	-986	-66	-398	-552	-0.875	1.0625	-32.6875	-0.005301562	0.8050284	-0.5930589	0.01349539	0	0	0
15	113018	114	-76	-970	-91	-406	-536	-2	0.5	-34.0625	-0.002647693	0.7925961	-0.6094837	0.01772292	0	0	0
